"","date","away_team","points_away","home_team","points_home","attendance","home_win","point_difference","abs_point_dif","season","win_percentage"
"214",2016-11-23,"Atlanta Hawks",96,"Indiana Pacers",85,16032,0,-11,11,"2016-17",67.4418604651163
"215",2016-11-23,"Phoenix Suns",92,"Orlando Magic",87,17069,0,-5,5,"2016-17",39.0243902439024
"216",2016-11-23,"Memphis Grizzlies",104,"Philadelphia 76ers",99,15880,0,-5,5,"2016-17",41.4634146341463
"217",2016-11-23,"Boston Celtics",111,"Brooklyn Nets",92,16210,0,-19,19,"2016-17",31.7073170731707
"218",2016-11-23,"Miami Heat",84,"Detroit Pistons",107,14520,1,23,23,"2016-17",58.5365853658537
"219",2016-11-23,"Toronto Raptors",115,"Houston Rockets",102,18055,0,-13,13,"2016-17",72.3404255319149
"220",2016-11-23,"Los Angeles Clippers",124,"Dallas Mavericks",104,20042,0,-20,20,"2016-17",51.219512195122
"221",2016-11-23,"Denver Nuggets",83,"Utah Jazz",108,19229,1,25,25,"2016-17",65.2173913043478
"222",2016-11-23,"Minnesota Timberwolves",96,"New Orleans Pelicans",117,15555,1,21,21,"2016-17",51.219512195122
"223",2016-11-23,"Los Angeles Lakers",106,"Golden State Warriors",149,19596,1,43,43,"2016-17",90
"224",2016-11-23,"Oklahoma City Thunder",101,"Sacramento Kings",116,17608,1,15,15,"2016-17",41.4634146341463
"225",2016-11-25,"San Antonio Spurs",109,"Boston Celtics",103,18624,0,-6,6,"2016-17",68.6274509803922
"226",2016-11-25,"Washington Wizards",94,"Orlando Magic",91,17103,0,-3,3,"2016-17",39.0243902439024
"227",2016-11-25,"Dallas Mavericks",90,"Cleveland Cavaliers",128,20562,1,38,38,"2016-17",75.5102040816327
"228",2016-11-25,"Los Angeles Clippers",97,"Detroit Pistons",108,17023,1,11,11,"2016-17",58.5365853658537
"229",2016-11-25,"Charlotte Hornets",111,"New York Knicks",113,19812,1,2,2,"2016-17",46.3414634146341
"230",2016-11-25,"Chicago Bulls",105,"Philadelphia 76ers",89,18234,0,-16,16,"2016-17",41.4634146341463
"231",2016-11-25,"Brooklyn Nets",97,"Indiana Pacers",118,16083,1,21,21,"2016-17",67.4418604651163
"232",2016-11-25,"Miami Heat",90,"Memphis Grizzlies",81,17222,0,-9,9,"2016-17",59.0909090909091
"233",2016-11-25,"Toronto Raptors",105,"Milwaukee Bucks",99,16223,0,-6,6,"2016-17",54.5454545454545
"234",2016-11-25,"Atlanta Hawks",68,"Utah Jazz",95,19911,1,27,27,"2016-17",65.2173913043478
